FlightID,RouteCode,Origin,Destination,OriginCountry,DestinationCountry,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
F0034,DEL-LHR,Delhi,London,India,UK,2023-08-05,520,B787,250,243,10532349,10156795
F0035,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-16,115,A320,180,141,4578552,3907038
F0036,BOM-JFK,Mumbai,New York,India,USA,2023-05-04,910,B777,300,213,4840425,3496766
F0037,BOM-DEL,Mumbai,Delhi,India,India,2024-07-21,120,A320,180,119,5541116,4305868
F0038,DEL-BLR,Delhi,Bangalore,India,India,2023-03-02,145,B737,160,109,1353453,1376322
F0039,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-03-14,280,A320,180,155,3657535,2916763
F0040,BOM-JFK,Mumbai,New York,India,USA,2023-08-08,910,B777,300,288,4801248,4576421
F0041,BOM-JFK,Mumbai,New York,India,USA,2023-09-06,910,B777,300,271,9397467,7204506
F0042,DEL-BLR,Delhi,Bangalore,India,India,2024-03-17,145,B737,160,125,4469875,3772064
F0043,BOM-DEL,Mumbai,Delhi,India,India,2023-04-11,120,A320,180,97,3335442,3184929
F0044,DEL-BLR,Delhi,Bangalore,India,India,2023-09-12,145,B737,160,104,2128360,1889345
F0045,BOM-GOA,Mumbai,Goa,India,India,2024-03-08,75,ATR72,72,47,1233938,1063555
F0046,DEL-BLR,Delhi,Bangalore,India,India,2024-03-29,145,B737,160,150,2162400,1551967
F0047,BOM-DEL,Mumbai,Delhi,India,India,2023-04-06,120,A320,180,120,2267880,1910110
F0048,BOM-JFK,Mumbai,New York,India,USA,2023-08-07,910,B777,300,252,2984184,2260886
F0049,BOM-DEL,Mumbai,Delhi,India,India,2024-02-04,120,A320,180,123,4651737,3720632
F0050,BOM-JFK,Mumbai,New York,India,USA,2023-06-08,910,B777,300,198,5434110,4217930
F0051,BOM-DEL,Mumbai,Delhi,India,India,2024-08-16,120,A320,180,159,1907046,1834180
F0052,BOM-DEL,Mumbai,Delhi,India,India,2023-02-21,120,A320,180,164,6436344,5638222
F0053,BOM-GOA,Mumbai,Goa,India,India,2023-02-28,75,ATR72,72,68,901000,899170
F0054,DEL-BLR,Delhi,Bangalore,India,India,2023-03-11,145,B737,160,110,3790710,2812556
F0055,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-15,115,A320,180,166,1760264,1613781
F0056,DEL-LHR,Delhi,London,India,UK,2024-08-20,520,B787,250,197,8325417,6749660
F0057,BOM-DXB,Mumbai,Dubai,India,UAE,2023-07-29,190,A321,200,185,5289150,4144261
F0058,DEL-LHR,Delhi,London,India,UK,2023-05-15,520,B787,250,210,5808600,4995562
F0059,DEL-BLR,Delhi,Bangalore,India,India,2023-01-10,145,B737,160,138,6721704,7054153
F0060,DEL-BLR,Delhi,Bangalore,India,India,2023-03-17,145,B737,160,148,3251412,2851682
F0061,BOM-GOA,Mumbai,Goa,India,India,2023-12-24,75,ATR72,72,40,960360,796459
F0062,BOM-GOA,Mumbai,Goa,India,India,2024-03-24,75,ATR72,72,70,1947750,1780413
F0063,BOM-DEL,Mumbai,Delhi,India,India,2024-07-21,120,A320,180,128,1892864,1947048
F0064,BOM-GOA,Mumbai,Goa,India,India,2023-09-28,75,ATR72,72,43,645602,619678
F0065,BOM-GOA,Mumbai,Goa,India,India,2023-10-06,75,ATR72,72,54,2572452,1990358
F0066,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-07-28,280,A320,180,177,8773005,8760016
F0067,BOM-JFK,Mumbai,New York,India,USA,2023-09-15,910,B777,300,163,2289824,2111216
F0068,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-15,190,A321,200,100,2985900,2895999
F0069,BOM-DXB,Mumbai,Dubai,India,UAE,2023-06-15,190,A321,200,194,7169464,6402963
F0070,DEL-LHR,Delhi,London,India,UK,2024-07-28,520,B787,250,126,1931706,1403066
F0071,BOM-GOA,Mumbai,Goa,India,India,2024-07-12,75,ATR72,72,38,1223448,1105848
F0072,BOM-GOA,Mumbai,Goa,India,India,2024-03-16,75,ATR72,72,44,472604,381812
F0073,BOM-DEL,Mumbai,Delhi,India,India,2024-01-02,120,A320,180,116,2824948,2636881
F0074,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-07-27,280,A320,180,142,6911850,6651391
F0075,DEL-HYD,Delhi,Hyderabad,India,India,2023-06-16,115,A320,180,112,3922240,2779594
F0076,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-02-26,280,A320,180,175,4246025,3368719
F0077,DEL-BLR,Delhi,Bangalore,India,India,2024-01-27,145,B737,160,84,3263148,2538245
F0078,BOM-JFK,Mumbai,New York,India,USA,2023-12-25,910,B777,300,228,5224620,4064875
F0079,DEL-HYD,Delhi,Hyderabad,India,India,2024-02-13,115,A320,180,132,3466056,3474802
F0080,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-26,190,A321,200,182,7531888,6325938
F0081,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-01-29,280,A320,180,104,2612272,1991854
F0082,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-09,190,A321,200,113,5321848,4534732
F0083,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-22,280,A320,180,167,6933172,5133847
F0084,DEL-HYD,Delhi,Hyderabad,India,India,2023-09-18,115,A320,180,95,3474815,2434427
F0085,DEL-HYD,Delhi,Hyderabad,India,India,2024-01-08,115,A320,180,145,1824825,1883412
F0086,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-18,280,A320,180,174,2813058,2677789
F0087,BOM-DXB,Mumbai,Dubai,India,UAE,2024-06-03,190,A321,200,139,4832196,3934200
F0088,BOM-DXB,Mumbai,Dubai,India,UAE,2024-07-21,190,A321,200,116,2386352,2021612
F0089,DEL-LHR,Delhi,London,India,UK,2023-06-28,520,B787,250,203,9195088,7405102
F0090,BOM-DEL,Mumbai,Delhi,India,India,2023-11-08,120,A320,180,126,2743524,2333259
F0091,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-04-21,280,A320,180,146,5398642,5055663
F0092,BOM-JFK,Mumbai,New York,India,USA,2023-06-23,910,B777,300,171,4548258,4004323
F0093,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-06,280,A320,180,120,3401160,2648225
F0094,DEL-HYD,Delhi,Hyderabad,India,India,2023-05-31,115,A320,180,93,1025604,805811
F0095,BOM-JFK,Mumbai,New York,India,USA,2023-03-16,910,B777,300,266,9352560,9447469
F0096,DEL-HYD,Delhi,Hyderabad,India,India,2024-01-29,115,A320,180,153,5231223,4108574
F0097,BOM-DEL,Mumbai,Delhi,India,India,2023-04-20,120,A320,180,144,3217104,2450018
F0098,BOM-JFK,Mumbai,New York,India,USA,2023-02-21,910,B777,300,292,7104652,7254663
F0099,DEL-BLR,Delhi,Bangalore,India,India,2024-04-12,145,B737,160,97,3729650,3482195
F0100,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-29,280,A320,180,168,6901608,5861944
F0101,BOM-JFK,Mumbai,New York,India,USA,2023-06-12,910,B777,300,271,10161145,8034590
F0102,DEL-HYD,Delhi,Hyderabad,India,India,2023-10-11,115,A320,180,156,6202248,5702110
F0103,BOM-DXB,Mumbai,Dubai,India,UAE,2024-03-26,190,A321,200,109,2913025,2278197
F0104,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-24,280,A320,180,159,2111520,1580326
F0105,DEL-HYD,Delhi,Hyderabad,India,India,2024-01-28,115,A320,180,178,3206492,3037338
F0106,DEL-BLR,Delhi,Bangalore,India,India,2024-02-29,145,B737,160,132,3918288,3486938
F0107,DEL-LHR,Delhi,London,India,UK,2023-03-05,520,B787,250,151,5365634,4487370
F0108,BOM-DEL,Mumbai,Delhi,India,India,2024-08-12,120,A320,180,138,5417742,3803599
F0109,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-02,280,A320,180,139,4928940,4378757
F0110,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-14,115,A320,180,118,3054666,2604232
F0111,BOM-DEL,Mumbai,Delhi,India,India,2024-02-03,120,A320,180,133,4588101,4374586
F0112,BOM-JFK,Mumbai,New York,India,USA,2023-05-11,910,B777,300,286,2793362,2842036
F0113,BOM-DEL,Mumbai,Delhi,India,India,2023-03-27,120,A320,180,172,6207308,4639930
F0114,BOM-JFK,Mumbai,New York,India,USA,2023-07-06,910,B777,300,162,4057938,3378989
F0115,DEL-HYD,Delhi,Hyderabad,India,India,2024-04-10,115,A320,180,131,3945458,3813010
F0116,DEL-LHR,Delhi,London,India,UK,2023-10-12,520,B787,250,221,7873567,6206693
F0117,DEL-BLR,Delhi,Bangalore,India,India,2024-04-26,145,B737,160,82,3554782,2553150
F0118,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-18,280,A320,180,173,2161808,2104372
F0119,BOM-DEL,Mumbai,Delhi,India,India,2023-02-01,120,A320,180,121,2548865,2532883
F0120,BOM-GOA,Mumbai,Goa,India,India,2023-09-02,75,ATR72,72,44,1717540,1604715
F0121,DEL-HYD,Delhi,Hyderabad,India,India,2024-04-21,115,A320,180,179,4437947,4297771
F0122,BOM-GOA,Mumbai,Goa,India,India,2023-04-28,75,ATR72,72,46,1305664,963364
F0123,BOM-DEL,Mumbai,Delhi,India,India,2023-11-16,120,A320,180,163,5313148,4456822
F0124,DEL-HYD,Delhi,Hyderabad,India,India,2023-03-19,115,A320,180,165,8102490,6360432
F0125,BOM-DXB,Mumbai,Dubai,India,UAE,2023-05-04,190,A321,200,172,1838852,1510656
F0126,DEL-LHR,Delhi,London,India,UK,2024-01-15,520,B787,250,133,5474014,5072441
F0127,BOM-DEL,Mumbai,Delhi,India,India,2024-03-06,120,A320,180,152,2267232,1931076
F0128,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-04-15,280,A320,180,180,3244680,2765831
F0129,BOM-DXB,Mumbai,Dubai,India,UAE,2024-07-05,190,A321,200,199,7897514,6813231
F0130,BOM-DXB,Mumbai,Dubai,India,UAE,2023-11-27,190,A321,200,131,1791949,1429303
F0131,BOM-JFK,Mumbai,New York,India,USA,2023-09-07,910,B777,300,268,12152460,11102683
F0132,DEL-LHR,Delhi,London,India,UK,2023-12-11,520,B787,250,128,5170432,5159230
F0133,BOM-GOA,Mumbai,Goa,India,India,2024-05-14,75,ATR72,72,49,1531397,1499607
F0134,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-14,280,A320,180,166,4333430,3876369
F0135,DEL-HYD,Delhi,Hyderabad,India,India,2023-03-29,115,A320,180,120,4156200,3620059
F0136,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-02,115,A320,180,172,6908552,5919669
F0137,BOM-DEL,Mumbai,Delhi,India,India,2023-04-06,120,A320,180,127,2860294,2407052
F0138,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-10,115,A320,180,174,8023488,6652732
F0139,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-11,280,A320,180,160,4748480,3908633
F0140,BOM-JFK,Mumbai,New York,India,USA,2023-10-05,910,B777,300,228,5580300,4356475
F0141,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-20,115,A320,180,105,4527390,4675920
F0142,BOM-GOA,Mumbai,Goa,India,India,2023-07-16,75,ATR72,72,49,1946868,1551215
F0143,BOM-DXB,Mumbai,Dubai,India,UAE,2023-04-13,190,A321,200,124,3399336,2650187
F0144,BOM-GOA,Mumbai,Goa,India,India,2023-11-06,75,ATR72,72,36,1548180,1152316
F0145,BOM-DEL,Mumbai,Delhi,India,India,2023-02-25,120,A320,180,160,4343200,4100398
F0146,BOM-GOA,Mumbai,Goa,India,India,2024-05-17,75,ATR72,72,42,369726,333094
F0147,BOM-JFK,Mumbai,New York,India,USA,2024-05-05,910,B777,300,262,7945936,6074884
F0148,BOM-DEL,Mumbai,Delhi,India,India,2023-09-16,120,A320,180,151,2336876,2308227
F0149,DEL-LHR,Delhi,London,India,UK,2024-05-18,520,B787,250,134,6139210,5649951
F0150,BOM-DEL,Mumbai,Delhi,India,India,2023-06-05,120,A320,180,109,4892574,5050085
F0151,DEL-BLR,Delhi,Bangalore,India,India,2023-09-12,145,B737,160,95,4234435,4097049
F0152,DEL-HYD,Delhi,Hyderabad,India,India,2024-06-19,115,A320,180,138,5178312,5271400
F0153,BOM-DXB,Mumbai,Dubai,India,UAE,2024-03-15,190,A321,200,139,6291835,5771875
F0154,DEL-BLR,Delhi,Bangalore,India,India,2023-08-01,145,B737,160,160,3492640,2768357
F0155,DEL-BLR,Delhi,Bangalore,India,India,2023-06-10,145,B737,160,110,2133010,1905198
F0156,BOM-GOA,Mumbai,Goa,India,India,2023-01-03,75,ATR72,72,62,2326488,2189876
F0157,BOM-JFK,Mumbai,New York,India,USA,2023-10-26,910,B777,300,158,3660860,2931751
F0158,BOM-DXB,Mumbai,Dubai,India,UAE,2024-04-09,190,A321,200,109,2539373,2598715
F0159,DEL-HYD,Delhi,Hyderabad,India,India,2024-03-11,115,A320,180,104,4543552,3537988
F0160,BOM-GOA,Mumbai,Goa,India,India,2023-09-30,75,ATR72,72,45,570555,411297
F0161,BOM-DXB,Mumbai,Dubai,India,UAE,2024-08-05,190,A321,200,136,5002080,3719165
F0162,BOM-DXB,Mumbai,Dubai,India,UAE,2024-02-17,190,A321,200,134,5466932,4860067
F0163,BOM-JFK,Mumbai,New York,India,USA,2023-03-24,910,B777,300,160,5810080,5560751
F0164,BOM-DXB,Mumbai,Dubai,India,UAE,2023-01-27,190,A321,200,111,2553222,2646845
F0165,BOM-DEL,Mumbai,Delhi,India,India,2023-10-03,120,A320,180,163,1733668,1676609
F0166,BOM-GOA,Mumbai,Goa,India,India,2024-04-26,75,ATR72,72,69,2551689,2604318
F0167,BOM-GOA,Mumbai,Goa,India,India,2024-08-22,75,ATR72,72,63,3124863,3077945
F0168,DEL-BLR,Delhi,Bangalore,India,India,2024-04-26,145,B737,160,124,4310364,3520092
F0169,DEL-BLR,Delhi,Bangalore,India,India,2023-06-14,145,B737,160,122,4267194,4023049
F0170,BOM-DXB,Mumbai,Dubai,India,UAE,2024-02-15,190,A321,200,197,8678047,6186093
F0171,DEL-BLR,Delhi,Bangalore,India,India,2023-11-19,145,B737,160,112,3268832,2420807
F0172,DEL-LHR,Delhi,London,India,UK,2024-06-10,520,B787,250,230,1857250,1727578
F0173,BOM-JFK,Mumbai,New York,India,USA,2024-02-28,910,B777,300,163,3307759,2915636
F0174,BOM-JFK,Mumbai,New York,India,USA,2024-03-28,910,B777,300,163,3478420,2760020
F0175,BOM-GOA,Mumbai,Goa,India,India,2023-10-22,75,ATR72,72,64,2545024,1889678
F0176,DEL-HYD,Delhi,Hyderabad,India,India,2023-06-12,115,A320,180,129,5688771,4009366
F0177,DEL-LHR,Delhi,London,India,UK,2023-04-06,520,B787,250,153,2361555,2034495
F0178,DEL-BLR,Delhi,Bangalore,India,India,2023-06-07,145,B737,160,143,3879161,3406311
F0179,BOM-DXB,Mumbai,Dubai,India,UAE,2024-03-01,190,A321,200,161,6270467,4924234
F0180,BOM-GOA,Mumbai,Goa,India,India,2024-01-28,75,ATR72,72,48,2269440,1992305
F0181,BOM-GOA,Mumbai,Goa,India,India,2023-03-13,75,ATR72,72,53,1865229,1527541
F0182,BOM-DXB,Mumbai,Dubai,India,UAE,2023-01-03,190,A321,200,136,3748976,3723170
F0183,BOM-JFK,Mumbai,New York,India,USA,2023-06-02,910,B777,300,264,11430144,9938732
F0184,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-07-19,280,A320,180,159,5202480,4470858
F0185,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-07-13,280,A320,180,179,4233350,3810561
F0186,DEL-HYD,Delhi,Hyderabad,India,India,2024-02-25,115,A320,180,95,2740940,2633075
F0187,DEL-LHR,Delhi,London,India,UK,2024-01-31,520,B787,250,209,3755312,3279758
F0188,BOM-DEL,Mumbai,Delhi,India,India,2023-05-10,120,A320,180,154,7188412,5867168
F0189,DEL-BLR,Delhi,Bangalore,India,India,2024-03-26,145,B737,160,92,3907056,3979940
F0190,BOM-DEL,Mumbai,Delhi,India,India,2023-05-28,120,A320,180,142,2572472,1868103
F0191,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-13,190,A321,200,179,6094771,5652551
F0192,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-06-30,280,A320,180,138,3967776,3647892
F0193,BOM-JFK,Mumbai,New York,India,USA,2024-07-08,910,B777,300,159,7705935,5578690
F0194,BOM-DXB,Mumbai,Dubai,India,UAE,2023-08-21,190,A321,200,195,2714985,2312868
F0195,DEL-BLR,Delhi,Bangalore,India,India,2023-04-13,145,B737,160,136,2570672,2423887
F0196,BOM-DEL,Mumbai,Delhi,India,India,2023-02-17,120,A320,180,131,1529687,1227847
F0197,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-03-17,280,A320,180,108,2592324,2296561
F0198,BOM-GOA,Mumbai,Goa,India,India,2023-06-24,75,ATR72,72,47,619225,565551
F0199,DEL-LHR,Delhi,London,India,UK,2023-09-04,520,B787,250,188,8688796,6517389
F0200,BOM-JFK,Mumbai,New York,India,USA,2023-09-18,910,B777,300,267,6603711,6163865
F0201,BOM-JFK,Mumbai,New York,India,USA,2023-10-22,910,B777,300,289,5304017,3849929
F0202,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-11-03,280,A320,180,171,6122997,5765473
F0203,BOM-JFK,Mumbai,New York,India,USA,2023-11-06,910,B777,300,200,6642200,6633348
F0204,DEL-BLR,Delhi,Bangalore,India,India,2023-08-31,145,B737,160,128,5821568,4806494
F0205,BOM-DXB,Mumbai,Dubai,India,UAE,2023-10-30,190,A321,200,102,3461778,2755811
F0206,BOM-DEL,Mumbai,Delhi,India,India,2024-05-23,120,A320,180,126,2908206,2653658
F0207,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-13,280,A320,180,171,3498660,3209362
F0208,BOM-GOA,Mumbai,Goa,India,India,2023-04-10,75,ATR72,72,38,1073348,1047602
F0209,BOM-DEL,Mumbai,Delhi,India,India,2024-08-16,120,A320,180,136,2259232,1652733
F0210,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-01,190,A321,200,195,6869850,5231212
F0211,BOM-GOA,Mumbai,Goa,India,India,2024-07-06,75,ATR72,72,59,2524551,2210567
F0212,BOM-DXB,Mumbai,Dubai,India,UAE,2023-06-18,190,A321,200,132,5224296,5425872
F0213,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-13,190,A321,200,114,4410888,4574146
F0214,BOM-GOA,Mumbai,Goa,India,India,2023-08-20,75,ATR72,72,61,2715964,2248875
F0215,DEL-LHR,Delhi,London,India,UK,2023-01-15,520,B787,250,158,6819912,5068940
F0216,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-26,280,A320,180,164,5407080,5341362
F0217,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-21,280,A320,180,176,4104848,3550762
F0218,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-15,280,A320,180,172,2088424,1926344
F0219,BOM-JFK,Mumbai,New York,India,USA,2023-11-06,910,B777,300,254,3974084,2976278
F0220,BOM-DEL,Mumbai,Delhi,India,India,2023-11-08,120,A320,180,153,2388330,1753075
F0221,BOM-GOA,Mumbai,Goa,India,India,2024-02-02,75,ATR72,72,65,2100410,1963190
F0222,DEL-LHR,Delhi,London,India,UK,2023-06-08,520,B787,250,238,8374982,7782223
F0223,BOM-JFK,Mumbai,New York,India,USA,2024-02-22,910,B777,300,221,2241824,2110897
F0224,DEL-HYD,Delhi,Hyderabad,India,India,2024-03-30,115,A320,180,146,3427058,3425027
F0225,DEL-BLR,Delhi,Bangalore,India,India,2024-01-12,145,B737,160,149,4694394,3385561
F0226,BOM-DXB,Mumbai,Dubai,India,UAE,2023-07-14,190,A321,200,115,4347000,3182376
F0227,DEL-HYD,Delhi,Hyderabad,India,India,2023-01-22,115,A320,180,96,2866176,2250662
F0228,BOM-GOA,Mumbai,Goa,India,India,2024-08-01,75,ATR72,72,49,612304,606448
F0229,DEL-HYD,Delhi,Hyderabad,India,India,2024-08-23,115,A320,180,117,2722473,2218804
F0230,BOM-GOA,Mumbai,Goa,India,India,2023-01-03,75,ATR72,72,53,926546,968828
F0231,BOM-DXB,Mumbai,Dubai,India,UAE,2023-06-28,190,A321,200,114,1104546,824136
F0232,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-01,280,A320,180,165,4820970,3401307
F0233,BOM-DXB,Mumbai,Dubai,India,UAE,2023-02-23,190,A321,200,116,4128208,3649872
F0234,DEL-BLR,Delhi,Bangalore,India,India,2024-05-02,145,B737,160,137,4346462,3823292
F0235,DEL-BLR,Delhi,Bangalore,India,India,2024-04-07,145,B737,160,144,3242736,3342921
F0236,BOM-DEL,Mumbai,Delhi,India,India,2024-06-17,120,A320,180,128,4866304,4502154
F0237,BOM-DEL,Mumbai,Delhi,India,India,2023-03-04,120,A320,180,151,5182320,4400804
F0238,DEL-BLR,Delhi,Bangalore,India,India,2024-05-17,145,B737,160,136,1742976,1768673
F0239,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-06-01,280,A320,180,98,1594460,1269597
F0240,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-01-26,280,A320,180,166,7099820,5702676
F0241,DEL-LHR,Delhi,London,India,UK,2023-04-12,520,B787,250,226,3502548,3497215
F0242,DEL-HYD,Delhi,Hyderabad,India,India,2024-03-16,115,A320,180,147,3377178,2853157
F0243,BOM-JFK,Mumbai,New York,India,USA,2024-02-13,910,B777,300,256,3643136,2948724
F0244,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-19,280,A320,180,137,2466411,2319381
F0245,BOM-JFK,Mumbai,New York,India,USA,2023-03-10,910,B777,300,173,2351762,1722972
F0246,DEL-BLR,Delhi,Bangalore,India,India,2024-01-17,145,B737,160,96,4268352,3077453
F0247,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-05-06,280,A320,180,142,4426566,4452074
F0248,DEL-LHR,Delhi,London,India,UK,2023-02-22,520,B787,250,248,6658800,6060463
F0249,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-17,280,A320,180,163,6724239,5207644
F0250,BOM-JFK,Mumbai,New York,India,USA,2023-08-18,910,B777,300,177,5477265,5454702
F0251,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-28,280,A320,180,125,5703000,4443524
F0252,DEL-LHR,Delhi,London,India,UK,2024-07-28,520,B787,250,249,12137505,11102790
F0253,BOM-DEL,Mumbai,Delhi,India,India,2023-10-01,120,A320,180,93,1843539,1466801
F0254,BOM-DXB,Mumbai,Dubai,India,UAE,2023-12-14,190,A321,200,144,1209600,923519
F0255,BOM-GOA,Mumbai,Goa,India,India,2024-08-02,75,ATR72,72,61,766160,574356
F0256,BOM-DEL,Mumbai,Delhi,India,India,2023-04-04,120,A320,180,157,3469386,2885377
F0257,BOM-JFK,Mumbai,New York,India,USA,2023-12-16,910,B777,300,190,6127690,4957749
F0258,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-08-04,280,A320,180,166,2252122,2272773
F0259,BOM-GOA,Mumbai,Goa,India,India,2023-06-11,75,ATR72,72,39,520494,413915
F0260,DEL-LHR,Delhi,London,India,UK,2024-05-12,520,B787,250,202,7467738,6309972
F0261,DEL-HYD,Delhi,Hyderabad,India,India,2024-06-08,115,A320,180,104,3184584,2708392
F0262,BOM-DXB,Mumbai,Dubai,India,UAE,2024-05-13,190,A321,200,167,4711404,3372875
F0263,DEL-LHR,Delhi,London,India,UK,2023-02-26,520,B787,250,125,2674625,2154401
F0264,DEL-HYD,Delhi,Hyderabad,India,India,2023-05-21,115,A320,180,122,3290218,2681010
F0265,BOM-DEL,Mumbai,Delhi,India,India,2024-05-24,120,A320,180,145,2829530,2108608
F0266,DEL-HYD,Delhi,Hyderabad,India,India,2024-05-27,115,A320,180,161,5024810,3644124
F0267,BOM-DEL,Mumbai,Delhi,India,India,2024-03-22,120,A320,180,92,3507960,3586562
F0268,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-08-12,280,A320,180,144,6563232,5523274
